AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, true,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Linear,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom,-0.00052,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top,1.80E-07,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index,0,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step,0,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX,2.25,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY,0.999653966,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type,1,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex,0,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex,-1,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep,-1,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX,2.25,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY,0.999653966,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX,2.25,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY,0.999653966,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, ,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type,1,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex,0,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex,-1,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep,-1,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX,2.25,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY,0.999653966,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX,2.25,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY,0.999653966,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, ,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor,-1,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor,-16777216,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor,-3618616,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor,-65336,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor,-11513776,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor,-24416,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle,0,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle,0,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor,-16777036,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness,1,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle,0,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor,-39936,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness,1,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle,0,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor,-16731136,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness,1,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle,0,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor,-8892376,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness,1,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle,0,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor,-65536,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness,1,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle,0,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor,-14336,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness,1,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle,0,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor,-6946586,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness,1,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle,0,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor,-16733546,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness,1,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle,0,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size,7,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size,7,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size,7,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount,6,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat,0,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits,6,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat,0,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits,6,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat,0,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits,6,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, [VAR1] Unit=SMU1:MP, Name=V1, Direction=Double, Linear/Log=LINEAR, Start=0 V, Stop=-2 V, Step=-20 mV, No. of Steps=101, Compliance=100 mA," Pwr Comp=OFF	[CONSTANTS] Unit=SMU2:MP", Name=V2, Source Mode=V, Source=0 V, Compliance=100 mA
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo," 		2E-05	2E-05	5",,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true,,,,,,,,,,,,,
AnalysisSetup, Analysis.Setup.Title, Reset,,,,,,,,,,,,,
Dimension1,202,202,,,,,,,,,,,,,
Dimension2,1,1,,,,,,,,,,,,,
DataName, V1, I1,,,,,,,,,,,,,
DataValue,0,1.73E-07,,,,,,,,,,,,,
DataValue,-0.02,-1.68E-05,,,,,,,,,,,,,
DataValue,-0.04,-3.37E-05,,,,,,,,,,,,,
DataValue,-0.06,-5.07E-05,,,,,,,,,,,,,
DataValue,-0.08,-6.77E-05,,,,,,,,,,,,,
DataValue,-0.1,-8.45E-05,,,,,,,,,,,,,
DataValue,-0.12,-0.000101442,,,,,,,,,,,,,
DataValue,-0.14,-0.00011828,,,,,,,,,,,,,
DataValue,-0.16,-0.00013498,,,,,,,,,,,,,
DataValue,-0.18,-0.0001517,,,,,,,,,,,,,
DataValue,-0.2,-0.00016822,,,,,,,,,,,,,
DataValue,-0.22,-0.00018476,,,,,,,,,,,,,
DataValue,-0.24,-0.00020128,,,,,,,,,,,,,
DataValue,-0.26,-0.0002176,,,,,,,,,,,,,
DataValue,-0.28,-0.00023388,,,,,,,,,,,,,
DataValue,-0.3,-0.00025024,,,,,,,,,,,,,
DataValue,-0.32,-0.00026612,,,,,,,,,,,,,
DataValue,-0.34,-0.00028246,,,,,,,,,,,,,
DataValue,-0.36,-0.00029806,,,,,,,,,,,,,
DataValue,-0.38,-0.0003142,,,,,,,,,,,,,
DataValue,-0.4,-0.00032978,,,,,,,,,,,,,
DataValue,-0.42,-0.00034528,,,,,,,,,,,,,
DataValue,-0.44,-0.00036058,,,,,,,,,,,,,
DataValue,-0.46,-0.00037638,,,,,,,,,,,,,
DataValue,-0.48,-0.00039174,,,,,,,,,,,,,
DataValue,-0.5,-0.00040782,,,,,,,,,,,,,
DataValue,-0.52,-0.00042296,,,,,,,,,,,,,
DataValue,-0.54,-0.00043766,,,,,,,,,,,,,
DataValue,-0.56,-0.00045184,,,,,,,,,,,,,
DataValue,-0.58,-0.00046626,,,,,,,,,,,,,
DataValue,-0.6,-0.00047684,,,,,,,,,,,,,
DataValue,-0.62,-0.00048918,,,,,,,,,,,,,
DataValue,-0.64,-0.0004961,,,,,,,,,,,,,
DataValue,-0.66,-0.0005049,,,,,,,,,,,,,
DataValue,-0.68,-0.00051074,,,,,,,,,,,,,
DataValue,-0.7,-0.00051496,,,,,,,,,,,,,
DataValue,-0.72,-0.00051268,,,,,,,,,,,,,
DataValue,-0.74,-0.00050576,,,,,,,,,,,,,
DataValue,-0.76,-0.00046344,,,,,,,,,,,,,
DataValue,-0.78,-0.00042518,,,,,,,,,,,,,
DataValue,-0.8,-0.00040172,,,,,,,,,,,,,
DataValue,-0.82,-0.0003861,,,,,,,,,,,,,
DataValue,-0.84,-0.00036226,,,,,,,,,,,,,
DataValue,-0.86,-0.00032678,,,,,,,,,,,,,
DataValue,-0.88,-0.0003043,,,,,,,,,,,,,
DataValue,-0.9,-0.00029956,,,,,,,,,,,,,
DataValue,-0.92,-0.00027474,,,,,,,,,,,,,
DataValue,-0.94,-0.0002265,,,,,,,,,,,,,
DataValue,-0.96,-0.00019548,,,,,,,,,,,,,
DataValue,-0.98,-7.84E-05,,,,,,,,,,,,,
DataValue,-1,-9.37E-05,,,,,,,,,,,,,
DataValue,-1.02,-8.61E-05,,,,,,,,,,,,,
DataValue,-1.04,-0.000104748,,,,,,,,,,,,,
DataValue,-1.06,-9.27E-05,,,,,,,,,,,,,
DataValue,-1.08,-9.17E-05,,,,,,,,,,,,,
DataValue,-1.1,-0.000103112,,,,,,,,,,,,,
DataValue,-1.12,-0.00010988,,,,,,,,,,,,,
DataValue,-1.14,-0.00010542,,,,,,,,,,,,,
DataValue,-1.16,-0.0001158,,,,,,,,,,,,,
DataValue,-1.18,-0.00010708,,,,,,,,,,,,,
DataValue,-1.2,-0.00012566,,,,,,,,,,,,,
DataValue,-1.22,-0.00012526,,,,,,,,,,,,,
DataValue,-1.24,-0.00012188,,,,,,,,,,,,,
DataValue,-1.26,-0.00013328,,,,,,,,,,,,,
DataValue,-1.28,-0.00013886,,,,,,,,,,,,,
DataValue,-1.3,-0.00016362,,,,,,,,,,,,,
DataValue,-1.32,-0.00011238,,,,,,,,,,,,,
DataValue,-1.34,-0.000106282,,,,,,,,,,,,,
DataValue,-1.36,-0.000102956,,,,,,,,,,,,,
DataValue,-1.38,-0.00011296,,,,,,,,,,,,,
DataValue,-1.4,-0.00012442,,,,,,,,,,,,,
DataValue,-1.42,-0.00013204,,,,,,,,,,,,,
DataValue,-1.44,-0.00013822,,,,,,,,,,,,,
DataValue,-1.46,-0.000102058,,,,,,,,,,,,,
DataValue,-1.48,-0.000106624,,,,,,,,,,,,,
DataValue,-1.5,-0.00011195,,,,,,,,,,,,,
DataValue,-1.52,-0.00011738,,,,,,,,,,,,,
DataValue,-1.54,-0.00012214,,,,,,,,,,,,,
DataValue,-1.56,-0.00011592,,,,,,,,,,,,,
DataValue,-1.58,-0.00012886,,,,,,,,,,,,,
DataValue,-1.6,-0.0001315,,,,,,,,,,,,,
DataValue,-1.62,-0.00012212,,,,,,,,,,,,,
DataValue,-1.64,-0.00013252,,,,,,,,,,,,,
DataValue,-1.66,-0.0001223,,,,,,,,,,,,,
DataValue,-1.68,-0.00015448,,,,,,,,,,,,,
DataValue,-1.7,-0.00013942,,,,,,,,,,,,,
DataValue,-1.72,-0.00014302,,,,,,,,,,,,,
DataValue,-1.74,-0.00015448,,,,,,,,,,,,,
DataValue,-1.76,-0.00015812,,,,,,,,,,,,,
DataValue,-1.78,-0.0001674,,,,,,,,,,,,,
DataValue,-1.8,-0.00018106,,,,,,,,,,,,,
DataValue,-1.82,-0.00018728,,,,,,,,,,,,,
DataValue,-1.84,-0.00019202,,,,,,,,,,,,,
DataValue,-1.86,-0.00019422,,,,,,,,,,,,,
DataValue,-1.88,-0.00019366,,,,,,,,,,,,,
DataValue,-1.9,-0.00020238,,,,,,,,,,,,,
DataValue,-1.92,-0.0002039,,,,,,,,,,,,,
DataValue,-1.94,-0.00019538,,,,,,,,,,,,,
DataValue,-1.96,-0.000201,,,,,,,,,,,,,
DataValue,-1.98,-0.00020888,,,,,,,,,,,,,
DataValue,-2,-0.00021144,,,,,,,,,,,,,
DataValue,-2,-0.0002216,,,,,,,,,,,,,
DataValue,-1.98,-0.00021196,,,,,,,,,,,,,
DataValue,-1.96,-0.00021562,,,,,,,,,,,,,
DataValue,-1.94,-0.00021692,,,,,,,,,,,,,
DataValue,-1.92,-0.00021598,,,,,,,,,,,,,
DataValue,-1.9,-0.0002168,,,,,,,,,,,,,
DataValue,-1.88,-0.00020318,,,,,,,,,,,,,
DataValue,-1.86,-0.00020668,,,,,,,,,,,,,
DataValue,-1.84,-0.00020398,,,,,,,,,,,,,
DataValue,-1.82,-0.00019528,,,,,,,,,,,,,
DataValue,-1.8,-0.00018906,,,,,,,,,,,,,
DataValue,-1.78,-0.0001793,,,,,,,,,,,,,
DataValue,-1.76,-0.0001754,,,,,,,,,,,,,
DataValue,-1.74,-0.0001707,,,,,,,,,,,,,
DataValue,-1.72,-0.00016606,,,,,,,,,,,,,
DataValue,-1.7,-0.00016566,,,,,,,,,,,,,
DataValue,-1.68,-0.00016008,,,,,,,,,,,,,
DataValue,-1.66,-0.00015738,,,,,,,,,,,,,
DataValue,-1.64,-0.00015248,,,,,,,,,,,,,
DataValue,-1.62,-0.00015054,,,,,,,,,,,,,
DataValue,-1.6,-0.00014296,,,,,,,,,,,,,
DataValue,-1.58,-0.00014248,,,,,,,,,,,,,
DataValue,-1.56,-0.00013934,,,,,,,,,,,,,
DataValue,-1.54,-0.00013634,,,,,,,,,,,,,
DataValue,-1.52,-0.00013326,,,,,,,,,,,,,
DataValue,-1.5,-0.00012966,,,,,,,,,,,,,
DataValue,-1.48,-0.00012684,,,,,,,,,,,,,
DataValue,-1.46,-0.00012344,,,,,,,,,,,,,
DataValue,-1.44,-0.00012024,,,,,,,,,,,,,
DataValue,-1.42,-0.00011716,,,,,,,,,,,,,
DataValue,-1.4,-0.00011412,,,,,,,,,,,,,
DataValue,-1.38,-0.00011174,,,,,,,,,,,,,
DataValue,-1.36,-0.00010974,,,,,,,,,,,,,
DataValue,-1.34,-0.00010718,,,,,,,,,,,,,
DataValue,-1.32,-0.00010454,,,,,,,,,,,,,
DataValue,-1.3,-0.00010098,,,,,,,,,,,,,
DataValue,-1.28,-9.93E-05,,,,,,,,,,,,,
DataValue,-1.26,-9.70E-05,,,,,,,,,,,,,
DataValue,-1.24,-9.47E-05,,,,,,,,,,,,,
DataValue,-1.22,-9.22E-05,,,,,,,,,,,,,
DataValue,-1.2,-8.97E-05,,,,,,,,,,,,,
DataValue,-1.18,-8.75E-05,,,,,,,,,,,,,
DataValue,-1.16,-8.54E-05,,,,,,,,,,,,,
DataValue,-1.14,-8.23E-05,,,,,,,,,,,,,
DataValue,-1.12,-8.06E-05,,,,,,,,,,,,,
DataValue,-1.1,-7.82E-05,,,,,,,,,,,,,
DataValue,-1.08,-7.54E-05,,,,,,,,,,,,,
DataValue,-1.06,-7.29E-05,,,,,,,,,,,,,
DataValue,-1.04,-7.13E-05,,,,,,,,,,,,,
DataValue,-1.02,-6.82E-05,,,,,,,,,,,,,
DataValue,-1,-6.62E-05,,,,,,,,,,,,,
DataValue,-0.98,-6.41E-05,,,,,,,,,,,,,
DataValue,-0.96,-6.22E-05,,,,,,,,,,,,,
DataValue,-0.94,-6.05E-05,,,,,,,,,,,,,
DataValue,-0.92,-5.88E-05,,,,,,,,,,,,,
DataValue,-0.9,-5.78E-05,,,,,,,,,,,,,
DataValue,-0.88,-5.56E-05,,,,,,,,,,,,,
DataValue,-0.86,-5.40E-05,,,,,,,,,,,,,
DataValue,-0.84,-5.29E-05,,,,,,,,,,,,,
DataValue,-0.82,-5.06E-05,,,,,,,,,,,,,
DataValue,-0.8,-4.88E-05,,,,,,,,,,,,,
DataValue,-0.78,-4.55E-05,,,,,,,,,,,,,
DataValue,-0.76,-4.35E-05,,,,,,,,,,,,,
DataValue,-0.74,-4.18E-05,,,,,,,,,,,,,
DataValue,-0.72,-3.97E-05,,,,,,,,,,,,,
DataValue,-0.7,-3.74E-05,,,,,,,,,,,,,
DataValue,-0.68,-3.55E-05,,,,,,,,,,,,,
DataValue,-0.66,-3.40E-05,,,,,,,,,,,,,
DataValue,-0.64,-3.26E-05,,,,,,,,,,,,,
DataValue,-0.62,-3.11E-05,,,,,,,,,,,,,
DataValue,-0.6,-2.93E-05,,,,,,,,,,,,,
DataValue,-0.58,-2.81E-05,,,,,,,,,,,,,
DataValue,-0.56,-2.68E-05,,,,,,,,,,,,,
DataValue,-0.54,-2.52E-05,,,,,,,,,,,,,
DataValue,-0.52,-2.33E-05,,,,,,,,,,,,,
DataValue,-0.5,-2.22E-05,,,,,,,,,,,,,
DataValue,-0.48,-2.04E-05,,,,,,,,,,,,,
DataValue,-0.46,-1.92E-05,,,,,,,,,,,,,
DataValue,-0.44,-1.76E-05,,,,,,,,,,,,,
DataValue,-0.42,-1.65E-05,,,,,,,,,,,,,
DataValue,-0.4,-1.55E-05,,,,,,,,,,,,,
DataValue,-0.38,-1.44E-05,,,,,,,,,,,,,
DataValue,-0.36,-1.34E-05,,,,,,,,,,,,,
DataValue,-0.34,-1.19E-05,,,,,,,,,,,,,
DataValue,-0.32,-1.10E-05,,,,,,,,,,,,,
DataValue,-0.3,-1.01E-05,,,,,,,,,,,,,
DataValue,-0.28,-8.99E-06,,,,,,,,,,,,,
DataValue,-0.26,-8.17E-06,,,,,,,,,,,,,
DataValue,-0.24,-7.40E-06,,,,,,,,,,,,,
DataValue,-0.22,-6.62E-06,,,,,,,,,,,,,
DataValue,-0.2,-5.59E-06,,,,,,,,,,,,,
DataValue,-0.18,-4.79E-06,,,,,,,,,,,,,
DataValue,-0.16,-4.13E-06,,,,,,,,,,,,,
DataValue,-0.14,-3.55E-06,,,,,,,,,,,,,
DataValue,-0.12,-2.97E-06,,,,,,,,,,,,,
DataValue,-0.1,-2.42E-06,,,,,,,,,,,,,
DataValue,-0.08,-1.98E-06,,,,,,,,,,,,,
DataValue,-0.06,-1.32E-06,,,,,,,,,,,,,
DataValue,-0.04,-8.60E-07,,,,,,,,,,,,,
DataValue,-0.02,-4.41E-07,,,,,,,,,,,,,
DataValue,0,-2.59E-08,,,,,,,,,,,,,
