File Name,Corresponding Data Point,Maximum Subtraction,,,COV
"[C2-2-4um-02,SET-RESET,28,7_19_2024 4_33_08 PM].csv",0.925,0.00134084,,,
"[C2-2-4um-02,SET-RESET,28,7_19_2024 4_33_15 PM].csv",0.85,0.00133914,,,
"[C2-2-4um-02,SET-RESET,28,7_19_2024 4_33_21 PM].csv",0.8,0.0004699,,,
"[C2-2-4um-02,SET-RESET,28,7_19_2024 4_33_28 PM].csv",0.8,0.00052978,,,
"[C2-2-4um-02,SET-RESET,28,7_19_2024 4_33_35 PM].csv",0.9,0.00111388,,,
"[C2-2-4um-02,SET-RESET,28,7_19_2024 4_33_41 PM].csv",0.9,0.00122114,,,
"[C2-2-4um-02,SET-RESET,28,7_19_2024 4_33_48 PM].csv",0.8,0.000246,,,
"[C2-2-4um-02,SET-RESET,28,7_19_2024 4_33_54 PM].csv",0.925,0.00159528,,,
"[C2-2-4um-02,SET-RESET,28,7_19_2024 4_34_00 PM].csv",0.775,0.00074808,,,
"[C2-2-4um-02,SET-RESET,28,7_19_2024 4_34_07 PM].csv",0.875,0.00085986,,,
"[C2-2-4um-02,SET-RESET,28,7_19_2024 4_34_13 PM].csv",0.85,0.00047074,,,
"[C2-2-4um-02,SET-RESET,28,7_19_2024 4_34_20 PM].csv",0.825,0.00053888,,,
"[C2-2-4um-02,SET-RESET,28,7_19_2024 4_34_26 PM].csv",0.875,0.00065482,,,
"[C2-2-4um-02,SET-RESET,28,7_19_2024 4_34_32 PM].csv",0.925,0.00111566,,,
"[C2-2-4um-02,SET-RESET,28,7_19_2024 4_34_38 PM].csv",0.875,0.00102892,,,
"[C2-2-4um-02,SET-RESET,28,7_19_2024 4_34_45 PM].csv",0.9,0.00103958,,,
"[C2-2-4um-02,SET-RESET,28,7_19_2024 4_34_51 PM].csv",0.825,0.00097702,,,
"[C2-2-4um-03,SET-RESET,29,7_19_2024 4_36_24 PM].csv",0.95,0.00183748,,,
"[C2-2-4um-03,SET-RESET,29,7_19_2024 4_36_30 PM].csv",0.925,0.0018609,,,
"[C2-2-4um-03,SET-RESET,29,7_19_2024 4_36_37 PM].csv",1.225,0.0017727,,,
"[C2-2-4um-03,SET-RESET,29,7_19_2024 4_36_43 PM].csv",1.125,0.00181218,,,
"[C2-2-4um-03,SET-RESET,29,7_19_2024 4_36_50 PM].csv",1.175,0.001798,,,
"[C2-2-4um-03,SET-RESET,29,7_19_2024 4_36_56 PM].csv",1.05,0.0018154,,,
"[C2-2-4um-03,SET-RESET,29,7_19_2024 4_37_02 PM].csv",1.225,0.00175112,,,
"[C2-2-4um-03,SET-RESET,29,7_19_2024 4_37_08 PM].csv",1.225,0.0017217,,,
"[C2-2-4um-03,SET-RESET,29,7_19_2024 4_37_15 PM].csv",1.025,0.00171594,,,
"[C2-2-4um-03,SET-RESET,29,7_19_2024 4_37_21 PM].csv",1.125,0.00176944,,,
"[C2-2-4um-03,SET-RESET,29,7_19_2024 4_37_29 PM].csv",1.25,0.0003258,,,
"[C2-2-4um-03,SET-RESET,29,7_19_2024 4_37_36 PM].csv",1.275,0.00172826,,,
"[C2-2-4um-03,SET-RESET,29,7_19_2024 4_37_42 PM].csv",0.925,0.00176376,,,
"[C2-2-4um-03,SET-RESET,29,7_19_2024 4_37_49 PM].csv",1.05,0.00181078,,,
"[C2-2-4um-03,SET-RESET,29,7_19_2024 4_37_55 PM].csv",1.15,0.00180576,,,
"[C2-2-4um-03,SET-RESET,29,7_19_2024 4_38_02 PM].csv",1.225,0.00177796,,,
"[C2-2-4um-03,SET-RESET,29,7_19_2024 4_38_08 PM].csv",1.05,0.00183616,,,
"[C2-2-4um-03,SET-RESET,29,7_19_2024 4_38_14 PM].csv",1.05,0.00182478,,,
"[C2-2-4um-03,SET-RESET,29,7_19_2024 4_38_21 PM].csv",1.25,0.0017666,,,
"[C2-2-4um-03,SET-RESET,29,7_19_2024 4_38_27 PM].csv",1.2,0.00177672,,,
"[C2-2-4um-04,SET-RESET,30,7_19_2024 4_39_46 PM].csv",1.1,0.001596,,,
"[C2-2-4um-04,SET-RESET,30,7_19_2024 4_39_52 PM].csv",0.975,0.00164818,,,
"[C2-2-4um-04,SET-RESET,30,7_19_2024 4_39_59 PM].csv",0.975,0.00164628,,,
"[C2-2-4um-04,SET-RESET,30,7_19_2024 4_40_05 PM].csv",1.025,0.00162458,,,
"[C2-2-4um-04,SET-RESET,30,7_19_2024 4_40_12 PM].csv",1.05,0.00161974,,,
"[C2-2-4um-04,SET-RESET,30,7_19_2024 4_40_18 PM].csv",1.025,0.00164278,,,
"[C2-2-4um-04,SET-RESET,30,7_19_2024 4_40_25 PM].csv",1,0.0016311,,,
"[C2-2-4um-04,SET-RESET,30,7_19_2024 4_40_31 PM].csv",0.95,0.00160596,,,
"[C2-2-4um-04,SET-RESET,30,7_19_2024 4_40_37 PM].csv",0.975,0.00163482,,,
"[C2-2-4um-04,SET-RESET,30,7_19_2024 4_40_44 PM].csv",0.9,0.0006682,,,
"[C2-2-4um-04,SET-RESET,30,7_19_2024 4_40_50 PM].csv",0.925,0.00148676,,,
"[C2-2-4um-04,SET-RESET,30,7_19_2024 4_40_56 PM].csv",0.875,0.00111524,,,
"[C2-2-4um-04,SET-RESET,30,7_19_2024 4_41_03 PM].csv",0.9,0.00101776,,,
"[C2-2-4um-04,SET-RESET,30,7_19_2024 4_41_09 PM].csv",0.8,0.00061682,,,
"[C2-2-4um-04,SET-RESET,30,7_19_2024 4_41_15 PM].csv",0.9,0.00066468,,,
"[C2-2-4um-04,SET-RESET,30,7_19_2024 4_41_21 PM].csv",0.9,0.00038884,,,
"[C2-2-4um-04,SET-RESET,30,7_19_2024 4_41_27 PM].csv",0.9,0.0004703,,,
"[C2-2-4um-04,SET-RESET,30,7_19_2024 4_41_33 PM].csv",0.825,0.0004392,,,
"[C2-2-4um-04,SET-RESET,30,7_19_2024 4_41_39 PM].csv",0.9,0.0004589,,,
"[C2-2-4um-04,SET-RESET,30,7_19_2024 4_41_46 PM].csv",0.95,0.00120442,,,
"[C2-2-4um-05,SET-RESET,31,7_19_2024 4_43_06 PM].csv",1.125,0.00170972,,,
"[C2-2-4um-05,SET-RESET,31,7_19_2024 4_43_13 PM].csv",1,0.0018015,,,
"[C2-2-4um-05,SET-RESET,31,7_19_2024 4_43_20 PM].csv",1.125,0.00176694,,,
"[C2-2-4um-05,SET-RESET,31,7_19_2024 4_43_27 PM].csv",0.825,0.00132896,,,
"[C2-2-4um-05,SET-RESET,31,7_19_2024 4_43_33 PM].csv",0.8,0.00131908,,,
"[C2-2-4um-05,SET-RESET,31,7_19_2024 4_43_40 PM].csv",0.95,0.00181646,,,
"[C2-2-4um-05,SET-RESET,31,7_19_2024 4_43_46 PM].csv",0.825,0.0012877,,,
"[C2-2-4um-05,SET-RESET,31,7_19_2024 4_43_52 PM].csv",1.15,0.00174856,,,
"[C2-2-4um-05,SET-RESET,31,7_19_2024 4_43_59 PM].csv",1.1,0.00175806,,,
"[C2-2-4um-05,SET-RESET,31,7_19_2024 4_44_06 PM].csv",1.1,0.00174536,,,
"[C2-2-4um-05,SET-RESET,31,7_19_2024 4_44_12 PM].csv",1.025,0.00177354,,,
"[C2-2-4um-05,SET-RESET,31,7_19_2024 4_44_19 PM].csv",1,0.0010079,,,
"[C2-2-4um-05,SET-RESET,31,7_19_2024 4_44_25 PM].csv",1.075,0.0017262,,,
"[C2-2-4um-05,SET-RESET,31,7_19_2024 4_44_32 PM].csv",1.025,0.00168082,,,
"[C2-2-4um-05,SET-RESET,31,7_19_2024 4_44_38 PM].csv",0.95,0.00093622,,,
"[C2-2-4um-05,SET-RESET,31,7_19_2024 4_44_44 PM].csv",1.05,0.00176012,,,
"[C2-2-4um-05,SET-RESET,31,7_19_2024 4_44_51 PM].csv",1.05,0.00175224,,,
"[C2-2-4um-05,SET-RESET,31,7_19_2024 4_44_58 PM].csv",0.975,0.00091138,,,
"[C2-2-4um-05,SET-RESET,31,7_19_2024 4_45_04 PM].csv",1.025,0.00176166,,,
"[C2-2-4um-05,SET-RESET,31,7_19_2024 4_45_10 PM].csv",1.1,0.0007518,,,
"[C2-2-4um-06,SET-RESET,32,7_19_2024 4_47_23 PM].csv",1.125,0.00099106,,,
"[C2-2-4um-06,SET-RESET,32,7_19_2024 4_47_29 PM].csv",0.9,0.00126004,,,
"[C2-2-4um-06,SET-RESET,32,7_19_2024 4_47_35 PM].csv",1.075,0.00151146,,,
"[C2-2-4um-06,SET-RESET,32,7_19_2024 4_47_41 PM].csv",1.075,0.00148948,,,
"[C2-2-4um-06,SET-RESET,32,7_19_2024 4_47_48 PM].csv",1.025,0.00155968,,,
"[C2-2-4um-06,SET-RESET,32,7_19_2024 4_47_54 PM].csv",1,0.00134936,,,
"[C2-2-4um-06,SET-RESET,32,7_19_2024 4_48_00 PM].csv",0.925,0.00106156,,,
"[C2-2-4um-06,SET-RESET,32,7_19_2024 4_48_06 PM].csv",1,0.0009114,,,
"[C2-2-4um-06,SET-RESET,32,7_19_2024 4_48_13 PM].csv",0.925,0.00108822,,,
"[C2-2-4um-06,SET-RESET,32,7_19_2024 4_48_19 PM].csv",0.925,0.00135322,,,
"[C2-2-4um-06,SET-RESET,32,7_19_2024 4_48_26 PM].csv",0.975,0.00153776,,,
"[C2-2-4um-06,SET-RESET,32,7_19_2024 4_48_32 PM].csv",1.075,0.00148726,,,
"[C2-2-4um-06,SET-RESET,32,7_19_2024 4_48_38 PM].csv",1.075,0.0014544,,,
"[C2-2-4um-06,SET-RESET,32,7_19_2024 4_48_45 PM].csv",1.1,0.00147868,,,
"[C2-2-4um-06,SET-RESET,32,7_19_2024 4_48_52 PM].csv",0.975,0.00155368,,,
"[C2-2-4um-06,SET-RESET,32,7_19_2024 4_48_58 PM].csv",1.125,0.0014527,,,
"[C2-2-4um-06,SET-RESET,32,7_19_2024 4_49_04 PM].csv",1.075,0.00146272,,,
"[C2-2-4um-06,SET-RESET,32,7_19_2024 4_49_11 PM].csv",0.9,0.00078808,,,
"[C2-2-4um-06,SET-RESET,32,7_19_2024 4_49_17 PM].csv",1.15,0.00145406,,,
"[C2-2-4um-06,SET-RESET,32,7_19_2024 4_49_23 PM].csv",0.975,0.00159216,,,
"[C2-2-4um-07,SET-RESET,33,7_19_2024 4_50_44 PM].csv",1.025,0.00156076,,,
"[C2-2-4um-07,SET-RESET,33,7_19_2024 4_50_51 PM].csv",0.95,0.00036604,,,
"[C2-2-4um-07,SET-RESET,33,7_19_2024 4_50_58 PM].csv",1,0.00096218,,,
"[C2-2-4um-07,SET-RESET,33,7_19_2024 4_51_05 PM].csv",0.85,0.0006318,,,
"[C2-2-4um-07,SET-RESET,33,7_19_2024 4_51_12 PM].csv",1,0.00103098,,,
"[C2-2-4um-07,SET-RESET,33,7_19_2024 4_51_18 PM].csv",1.075,0.00156824,,,
"[C2-2-4um-07,SET-RESET,33,7_19_2024 4_51_25 PM].csv",0.975,0.0009989,,,
"[C2-2-4um-07,SET-RESET,33,7_19_2024 4_51_31 PM].csv",1.1,0.00145128,,,
"[C2-2-4um-07,SET-RESET,33,7_19_2024 4_51_37 PM].csv",0.75,0.00065854,,,
"[C2-2-4um-07,SET-RESET,33,7_19_2024 4_51_44 PM].csv",0.875,0.00140722,,,
"[C2-2-4um-07,SET-RESET,33,7_19_2024 4_51_50 PM].csv",1,0.00158958,,,
"[C2-2-4um-07,SET-RESET,33,7_19_2024 4_51_56 PM].csv",0.975,0.00161874,,,
"[C2-2-4um-07,SET-RESET,33,7_19_2024 4_52_03 PM].csv",0.925,0.00163624,,,
"[C2-2-4um-07,SET-RESET,33,7_19_2024 4_52_09 PM].csv",0.95,0.001619,,,
"[C2-2-4um-07,SET-RESET,33,7_19_2024 4_52_16 PM].csv",0.95,0.00161796,,,
"[C2-2-4um-07,SET-RESET,33,7_19_2024 4_52_22 PM].csv",0.925,0.00160924,,,
"[C2-2-4um-07,SET-RESET,33,7_19_2024 4_52_29 PM].csv",0.775,0.00098426,,,
"[C2-2-4um-07,SET-RESET,33,7_19_2024 4_52_35 PM].csv",1,0.00129024,,,
"[C2-2-4um-07,SET-RESET,33,7_19_2024 4_52_42 PM].csv",0.975,0.00046882,,,
"[C2-2-4um-07,SET-RESET,33,7_19_2024 4_52_48 PM].csv",1.075,0.00065782,,,
"[C2-2-4um-08,SET-RESET,34,7_19_2024 4_54_51 PM].csv",1.1,0.00125992,,,
"[C2-2-4um-08,SET-RESET,34,7_19_2024 4_54_58 PM].csv",0.875,0.00092376,,,
"[C2-2-4um-08,SET-RESET,34,7_19_2024 4_55_04 PM].csv",0.95,0.00131442,,,
"[C2-2-4um-08,SET-RESET,34,7_19_2024 4_55_11 PM].csv",0.825,0.00049246,,,
"[C2-2-4um-08,SET-RESET,34,7_19_2024 4_55_18 PM].csv",0.85,0.00093074,,,
"[C2-2-4um-08,SET-RESET,34,7_19_2024 4_55_24 PM].csv",0.925,0.0011616,,,
"[C2-2-4um-08,SET-RESET,34,7_19_2024 4_55_31 PM].csv",0.825,0.0008487,,,
"[C2-2-4um-08,SET-RESET,34,7_19_2024 4_55_38 PM].csv",0.95,0.00131366,,,
"[C2-2-4um-08,SET-RESET,34,7_19_2024 4_55_44 PM].csv",0.9,0.00126274,,,
"[C2-2-4um-08,SET-RESET,34,7_19_2024 4_55_51 PM].csv",0.95,0.00136352,,,
"[C2-2-4um-08,SET-RESET,34,7_19_2024 4_55_57 PM].csv",0.9,0.00116994,,,
"[C2-2-4um-08,SET-RESET,34,7_19_2024 4_56_03 PM].csv",0.925,0.00111368,,,
"[C2-2-4um-08,SET-RESET,34,7_19_2024 4_56_10 PM].csv",0.925,0.0012426,,,
"[C2-2-4um-08,SET-RESET,34,7_19_2024 4_56_16 PM].csv",0.925,0.00127806,,,
"[C2-2-4um-08,SET-RESET,34,7_19_2024 4_56_22 PM].csv",0.9,0.00109818,,,
"[C2-2-4um-08,SET-RESET,34,7_19_2024 4_56_29 PM].csv",0.85,0.00088096,,,
"[C2-2-4um-08,SET-RESET,34,7_19_2024 4_56_35 PM].csv",0.875,0.00094808,,,
"[C2-2-4um-08,SET-RESET,34,7_19_2024 4_56_41 PM].csv",0.85,0.00082284,,,
"[C2-2-4um-08,SET-RESET,34,7_19_2024 4_56_47 PM].csv",0.9,0.00104878,,,
"[C2-2-4um-08,SET-RESET,34,7_19_2024 4_56_54 PM].csv",1.025,0.00125098,,,
"[C2-2-4um-10,SET-RESET,35,7_19_2024 5_00_16 PM].csv",1.175,0.00181266,,,
"[C2-2-4um-10,SET-RESET,35,7_19_2024 5_00_22 PM].csv",1.25,0.00121602,,,
"[C2-2-4um-10,SET-RESET,35,7_19_2024 5_00_28 PM].csv",1.125,0.00181728,,,
"[C2-2-4um-10,SET-RESET,35,7_19_2024 5_00_34 PM].csv",1.05,0.00186514,,,
"[C2-2-4um-10,SET-RESET,35,7_19_2024 5_00_40 PM].csv",0.975,0.0018807,,,
"[C2-2-4um-10,SET-RESET,35,7_19_2024 5_00_47 PM].csv",1.15,0.00183222,,,
"[C2-2-4um-10,SET-RESET,35,7_19_2024 5_00_53 PM].csv",0.95,0.00157408,,,
"[C2-2-4um-10,SET-RESET,35,7_19_2024 5_00_59 PM].csv",1.05,0.00183876,,,
"[C2-2-4um-10,SET-RESET,35,7_19_2024 5_01_05 PM].csv",1.1,0.00182976,,,
"[C2-2-4um-10,SET-RESET,35,7_19_2024 5_01_11 PM].csv",1.175,0.00180526,,,
"[C2-2-4um-10,SET-RESET,35,7_19_2024 5_01_18 PM].csv",1.15,0.00178808,,,
"[C2-2-4um-10,SET-RESET,35,7_19_2024 5_01_24 PM].csv",1.2,0.00179404,,,
"[C2-2-4um-10,SET-RESET,35,7_19_2024 5_01_30 PM].csv",1.15,0.0018022,,,
"[C2-2-4um-10,SET-RESET,35,7_19_2024 5_01_36 PM].csv",1.25,0.00134702,,,
"[C2-2-4um-10,SET-RESET,35,7_19_2024 5_01_43 PM].csv",1.15,0.00180568,,,
"[C2-2-4um-10,SET-RESET,35,7_19_2024 5_01_50 PM].csv",1.325,0.0012381,,,
"[C2-2-4um-10,SET-RESET,35,7_19_2024 5_01_56 PM].csv",1.05,0.00179888,,,
