condition,device_id,split,is_fitted_device
S4,B6-01-4um-05,train,0
S4,C3-03-4um-07,train,0
S4,C3-03-4um-08,val,0
S4,C3-03-4um-09,train,0
S4,C3-03-4um-10,train,0
S4,C3-03-4um-11,val,0
S4,C3-03-4um-12,train,0
S4,D1-02-4um-01,val,0
S4,D1-02-4um-02,train,0
S4,D1-02-4um-03,val,0
S4,D1-02-4um-04,test,0
S4,D1-02-4um-05,test,0
S5,A8-04-4um-01,test,0
S5,A8-04-4um-03,val,0
S5,A8-04-4um-04,train,1
S5,A8-04-4um-05,train,0
S5,A8-04-4um-06,test,0
S5,A8-04-4um-07,train,0
S5,A8-04-4um-08,val,0
S5,A8-04-4um-09,train,0
S5,A8-04-4um-10,train,0
S5,A8-04-4um-11,val,0
S5,A8-04-4um-12,test,0
S5,B6-01-4um-01,val,0
S5,B6-01-4um-02,test,0
S5,B6-01-4um-03,test,0
S5,B6-01-4um-04,train,0
S5,B6-01-4um-05,train,0
S5,B6-01-4um-06,train,0
S5,B6-01-4um-07,train,0
S5,B6-01-4um-08,test,0
S5,B6-01-4um-09,train,0
S5,B6-01-4um-10,train,0
S5,C3-02-4um-01,train,0
S5,C3-02-4um-02,train,0
S5,C3-02-4um-03,train,0
S5,C3-02-4um-04,val,0
S5,C3-02-4um-05,test,0
S5,C3-02-4um-06,val,0
S5,C3-02-4um-07,train,0
S5,C3-02-4um-08,val,0
S5,C3-02-4um-09,train,0
S5,C3-02-4um-10,train,0
S5,C3-02-4um-11,train,0
S5,C3-02-4um-12,train,0
S5,D2-01-4um-01,test,0
S5,D2-01-4um-02,train,0
S5,D2-01-4um-03,train,0
S5,D2-01-4um-04,train,0
S5,D2-01-4um-07,train,0
S5,D2-01-4um-08,test,0
S5,D2-01-4um-09,train,0
S5,D2-01-4um-10,val,0
S5,D2-01-4um-11,val,0
S5,D2-01-4um-12,train,0
S6,A8-02-4um-01,train,1
S6,A8-02-4um-03,train,0
S6,A8-02-4um-04,train,0
S6,A8-02-4um-06,train,0
S6,A8-02-4um-07,train,0
S6,A8-02-4um-08,val,0
S6,A8-02-4um-09,train,0
S6,A8-02-4um-10,val,0
S6,B3-01-4um-01,val,0
S6,B3-01-4um-03,val,0
S6,B3-01-4um-04,train,0
S6,B3-01-4um-06,train,0
S6,B6-01-4um-01,train,0
S6,B6-01-4um-02,test,0
S6,B6-01-4um-05,train,0
S6,B6-01-4um-10,train,0
S6,B6-03-4um-01,test,0
S6,B6-03-4um-03,train,0
S6,B6-03-4um-07,val,0
S6,B6-03-4um-08,train,0
S6,B6-03-4um-09,test,0
S6,B6-03-4um-10,train,0
S6,B6-03-4um-12,train,0
S6,C2-02-4um-01,test,0
S6,C2-02-4um-02,train,0
S6,C2-02-4um-03,val,0
S6,C2-02-4um-05,test,0
S6,C2-02-4um-09,test,0
S6,C2-02-4um-12,train,0
S6,C3-03-4um-01,test,0
S6,C3-03-4um-02,test,0
S6,C3-03-4um-03,train,0
S6,C3-03-4um-04,train,0
S6,C3-03-4um-07,train,0
S6,C3-03-4um-08,train,0
S6,C3-03-4um-09,train,0
S6,C4-04-4um-02,train,0
S6,C4-04-4um-04,val,0
S6,C4-04-4um-09,val,0
S6,C4-04-4um-11,train,0
S6,C4-04-4um-12,train,0
S7,B6-01-4um-02,train,1
S7,B6-01-4um-03,val,0
S7,B6-01-4um-04,val,0
S7,B6-01-4um-06,train,0
S7,B6-01-4um-07,test,0
S7,B6-01-4um-09,train,0
S7,B6-01-4um-10,train,0
S7,B6-01-4um-11,train,0
S7,B6-04-4um-01,train,0
S7,B6-04-4um-03,train,0
S7,B7-01-4um-01,test,0
S7,B7-01-4um-02,test,0
S7,B7-01-4um-06,val,0
S7,B7-01-4um-07,train,0
S7,B7-01-4um-08,train,0
S7,B7-01-4um-10,train,0
S7,B7-03-4um-01,val,0
S7,B7-03-4um-03,train,0
S7,B7-03-4um-04,train,0
S7,D1-02-4um-01,train,0
S7,D1-02-4um-02,train,0
S7,D1-02-4um-03,test,0
S7,D1-03-4um-01,train,0
S7,D1-03-4um-02,train,0
S7,D1-03-4um-03,train,0
S7,D1-03-4um-04,test,0
S7,D1-03-4um-09,val,0
S8,A8-02-4um-01,train,1
S8,A8-02-4um-02,train,0
S8,A8-02-4um-03,val,0
S8,A8-02-4um-04,val,0
S8,A8-02-4um-05,train,0
S8,A8-02-4um-06,train,0
S8,A8-02-4um-07,train,0
S8,A8-02-4um-08,val,0
S8,A8-02-4um-09,val,0
S8,A8-02-4um-10,val,0
S8,A8-02-4um-11,train,0
S8,A8-02-4um-12,train,0
S8,B7-02-4um-01,test,0
S8,B7-02-4um-02,test,0
S8,B7-02-4um-03,test,0
S8,B7-02-4um-04,train,0
S8,B7-02-4um-05,val,0
S8,B7-02-4um-06,test,0
S8,B7-02-4um-07,val,0
S8,B7-02-4um-08,test,0
S8,B7-02-4um-09,val,0
S8,B7-02-4um-10,train,0
S8,B7-02-4um-11,train,0
S8,B7-02-4um-12,train,0
S8,C3-04-4um-01,train,0
S8,C3-04-4um-02,train,0
S8,C3-04-4um-03,val,0
S8,C3-04-4um-04,train,0
S8,C3-04-4um-05,val,0
S8,C3-04-4um-06,train,0
S8,C3-04-4um-07,train,0
S8,C3-04-4um-08,train,0
S8,C3-04-4um-09,test,0
S8,C3-04-4um-10,test,0
S8,C3-04-4um-11,train,0
S8,C3-04-4um-12,test,0
S8,D1-01-4um-01,train,0
S8,D1-01-4um-02,train,0
S8,D1-01-4um-03,train,0
S8,D1-01-4um-04,train,0
S8,D1-01-4um-05,test,0
S8,D1-01-4um-06,train,0
S8,D1-01-4um-07,train,0
S8,D1-01-4um-08,train,0
S8,D1-01-4um-09,train,0
S8,D1-01-4um-10,test,0
S8,D1-01-4um-11,train,0
S8,D1-01-4um-12,train,0
S9,B7-03-4um-01,train,1
S9,B7-03-4um-02,val,0
S9,B7-03-4um-03,train,0
S9,B7-03-4um-04,val,0
S9,B7-03-4um-05,train,0
S9,B7-03-4um-06,test,0
S9,B7-03-4um-07,train,0
S9,B7-03-4um-08,train,0
S9,B7-03-4um-09,test,0
S9,B7-03-4um-10,val,0
S9,B7-03-4um-11,train,0
S9,B7-03-4um-12,train,0
S9,C3-04-4um-01,val,0
S9,C3-04-4um-02,test,0
S9,C3-04-4um-03,test,0
S9,C3-04-4um-04,train,0
S9,C3-04-4um-05,train,0
S9,C3-04-4um-06,train,0
S9,C3-04-4um-07,train,0
S9,C3-04-4um-08,train,0
S9,C3-04-4um-09,train,0
S9,C3-04-4um-10,val,0
S9,C3-04-4um-11,val,0
S9,C3-04-4um-12,val,0
S9,D1-01-4um-01,train,0
S9,D1-01-4um-02,train,0
S9,D1-01-4um-03,val,0
S9,D1-01-4um-04,train,0
S9,D1-01-4um-05,train,0
S9,D1-01-4um-06,train,0
S9,D1-01-4um-07,train,0
S9,D1-01-4um-08,train,0
S9,D1-01-4um-09,train,0
S9,D1-01-4um-10,train,0
S9,D1-01-4um-12,val,0
S9,D4-02-4um-01,train,0
S9,D4-02-4um-02,test,0
S9,D4-02-4um-03,test,0
S9,D4-02-4um-04,test,0
S9,D4-02-4um-05,test,0
S9,D4-02-4um-06,train,0
S9,D4-02-4um-07,train,0
S9,D4-02-4um-08,train,0
S9,D4-02-4um-09,train,0
S9,D4-02-4um-10,test,0
S9,D4-02-4um-12,train,0
S10,A7-02-4um-08,train,0
S10,A7-02-4um-10,train,0
S10,A7-02-4um-12,test,0
S10,A8-01-4um-01,train,0
S10,A8-01-4um-02,train,0
S10,A8-01-4um-03,train,0
S10,A8-01-4um-04,train,0
S10,A8-01-4um-05,test,0
S10,A8-01-4um-06,val,0
S10,A8-01-4um-07,train,0
S10,A8-01-4um-11,test,0
S10,B6-04-4um-02,train,1
S10,B6-04-4um-03,val,0
S10,B6-04-4um-04,train,0
S10,B6-04-4um-06,train,0
S10,D2-01-4um-01,val,0
S10,D2-01-4um-06,train,0
S11,A7-4-10um-01,train,0
S11,B6-01-4um-01,val,0
S11,B6-01-4um-02,train,0
S11,B6-01-4um-03,train,1
S11,B6-01-4um-04,test,0
S11,B6-01-4um-05,val,0
S11,B6-01-4um-06,train,0
S11,B6-01-4um-07,val,0
S11,B6-01-4um-08,train,0
S11,B6-01-4um-09,val,0
S11,B6-01-4um-10,train,0
S11,B6-01-4um-11,train,0
S11,B6-01-4um-12,train,0
S11,B6-02-4um-01,train,0
S11,B6-02-4um-02,val,0
S11,B6-02-4um-03,train,0
S11,B6-02-4um-04,test,0
S11,B6-02-4um-05,test,0
S11,B6-02-4um-06,train,0
S11,B6-02-4um-07,val,0
S11,B6-02-4um-08,train,0
S11,B6-02-4um-09,val,0
S11,B6-02-4um-10,test,0
S11,B6-02-4um-11,val,0
S11,B6-02-4um-12,train,0
S11,C3-2-4um-02,test,0
S11,C3-2-4um-03,test,0
S11,C3-2-4um-04,train,0
S11,C3-2-4um-05,train,0
S11,C3-2-4um-06,test,0
S11,C3-2-4um-07,test,0
S11,C3-2-4um-08,train,0
S11,C3-2-4um-09,train,0
S11,C3-2-4um-10,train,0
S11,C3-2-4um-11,train,0
S11,C3-2-4um-12,train,0
S11,D1-1-4um-10,train,0
S11,D1-1-4um-11,train,0
S11,D1-1-4um-12,train,0
S12,A8-02-4um-01,train,0
S12,A8-02-4um-02,val,0
S12,A8-02-4um-03,train,0
S12,A8-02-4um-04,train,0
S12,A8-02-4um-05,test,0
S12,A8-02-4um-06,train,0
S12,A8-02-4um-07,val,0
S12,A8-02-4um-08,train,0
S12,A8-02-4um-09,train,0
S12,A8-02-4um-10,train,0
S12,A8-02-4um-11,train,0
S12,A8-02-4um-12,val,0
S12,C3-02-4um-01,train,0
S12,C3-02-4um-02,train,0
S12,C3-02-4um-03,val,0
S12,C3-02-4um-04,test,0
S12,C3-02-4um-05,test,0
S12,C3-02-4um-06,val,0
S12,C3-02-4um-07,val,0
S12,C3-02-4um-08,train,0
S12,C3-02-4um-09,train,0
S12,C3-02-4um-10,train,0
S12,C3-02-4um-11,train,0
S12,C3-02-4um-12,val,0
S12,C3-04-4um-01,test,0
S12,C3-04-4um-03,train,0
S12,C3-04-4um-04,val,0
S12,C3-04-4um-05,test,0
S12,C3-04-4um-06,train,0
S12,C3-04-4um-07,train,0
S12,C3-04-4um-08,train,0
S12,C3-04-4um-09,train,0
S12,C3-04-4um-10,train,0
S12,C3-04-4um-11,train,0
S12,C3-04-4um-12,train,1
S12,D1-03-4um-01,train,0
S12,D1-03-4um-02,val,0
S12,D1-03-4um-03,val,0
S12,D1-03-4um-04,test,0
S12,D1-03-4um-05,train,0
S12,S12-01-4um-01,train,0
S12,S12-01-4um-02,train,0
S12,S12-01-4um-03,train,0
S12,S12-01-4um-04,train,0
S12,S12-01-4um-05,test,0
S12,S12-01-4um-06,train,0
S12,S12-01-4um-07,train,0
S12,S12-01-4um-08,test,0
S12,S12-01-4um-09,train,0
S12,S12-01-4um-10,train,0
S12,S12-01-4um-11,test,0
S12,S12-01-4um-12,test,0
